Time,Close,,,,
Jul 17,940.5,931.5,948.7,891.15,1.57%
Jun 17,926,949,972.5,910.25,-2.37%
May 17,948.5,946,970.8,894.1,0.32%
Apr 17,945.5,951.9,992,933.75,-0.47%
Mar 17,950,"1,028.10","1,032.30",932,-7.21%
Feb 17,"1,023.85",995.05,"1,044.85",981.5,2.86%
Jan 17,995.4,900,"1,005.50",898.5,10.17%
Dec 16,903.5,914.65,955.96,888.75,-0.94%
Nov 16,912.05,978.55,"1,021.65",900.55,-7.08%
Oct 16,981.5,"1,031.30","1,035.20",926.2,-4.48%
Sep 16,"1,027.49","1,051.26","1,109.56","1,008.75",-2.42%
Aug 16,"1,053.00","1,145.50","1,198.30","1,048.20",-8.28%
Jul 16,"1,148.00","1,022.50","1,162.60","1,021.50",12.00%
Jun 16,"1,025.00",979.5,"1,033.18",955,4.70%
May 16,979,"1,078.07","1,091.27",962.57,-9.31%
Apr 16,"1,079.50",979.61,"1,085.00",938,10.43%
Mar 16,977.5,937.85,"1,013.64",930.5,4.69%
Feb 16,933.75,871.25,970.92,849.75,7.18%
Jan 16,871.2,891.8,898.4,807.11,-2.27%
Dec 15,891.45,831.93,894.85,820.6,7.19%
Nov 15,831.64,980.06,983.16,821.16,-15.61%
Oct 15,985.5,907.75,"1,026.01",891.75,8.68%
Sep 15,906.75,"1,007.00","1,022.50",896.5,-10.13%
Aug 15,"1,009.00",980,"1,039.50",943,2.54%
Jul 15,984,"1,078.50","1,090.50",944.99,-8.72%
Jun 15,"1,078.00","1,109.00","1,125.99","1,056.25",-2.93%
May 15,"1,110.50","1,140.50","1,179.00","1,106.50",-2.63%
Apr 15,"1,140.50","1,143.74","1,189.25","1,118.50",-0.07%
Mar 15,"1,141.35","1,183.00","1,201.25","1,086.25",-3.99%
Feb 15,"1,188.75","1,245.50","1,261.95","1,155.00",-4.15%
Jan 15,"1,240.25","1,204.90","1,292.75","1,186.30",2.93%
Dec 14,"1,204.90","1,211.50","1,259.50","1,176.20",0.28%
Nov 14,"1,201.50","1,238.00","1,248.50","1,176.10",-2.40%
Oct 14,"1,231.00","1,295.60","1,303.25","1,185.75",-5.17%
Sep 14,"1,298.10","1,424.75","1,430.24","1,294.90",-8.87%
Aug 14,"1,424.50","1,459.40","1,489.00","1,412.30",-2.39%
Jul 14,"1,459.40","1,485.65","1,523.25","1,458.50",-1.77%
Jun 14,"1,485.65","1,453.00","1,491.00","1,418.00",2.48%
May 14,"1,449.70","1,427.00","1,498.90","1,408.70",1.59%
Apr 14,"1,427.00","1,414.20","1,474.90","1,385.40",0.91%
Mar 14,"1,414.20","1,451.50","1,491.00","1,393.00",-2.17%
Feb 14,"1,445.50","1,374.14","1,459.50","1,359.20",4.96%
Jan 14,"1,377.25","1,370.50","1,472.00","1,360.90",0.34%
Dec 13,"1,372.60","1,367.60","1,402.35","1,314.85",0.76%
Nov 13,"1,362.20","1,449.50","1,474.00","1,351.30",-6.12%
Oct 13,"1,451.00","1,405.00","1,480.50","1,357.40",3.36%
Sep 13,"1,403.80","1,525.50","1,542.50","1,400.50",-7.68%
Aug 13,"1,520.50","1,438.49","1,557.50","1,416.25",5.85%
Jul 13,"1,436.50","1,337.00","1,462.50","1,307.75",7.05%
Jun 13,"1,341.88","1,454.21","1,540.96","1,292.71",-8.12%
May 13,"1,460.50","1,506.50","1,518.50","1,428.75",-3.02%
Apr 13,"1,506.00","1,574.00","1,599.74","1,379.93",-4.11%
Mar 13,"1,570.50","1,584.49","1,615.50","1,550.25",-0.84%
Feb 13,"1,583.74","1,677.01","1,743.76","1,581.24",-5.66%
Jan 13,"1,678.75","1,540.50","1,704.00","1,534.25",8.95%
Dec 12,"1,540.80","1,605.46","1,646.97","1,515.22",-3.79%
Nov 12,"1,601.50","1,566.20","1,626.75","1,532.90",2.25%
Oct 12,"1,566.20","1,661.00","1,731.49","1,527.60",-5.89%
Sep 12,"1,664.20","1,540.75","1,718.25","1,536.95",8.28%
Aug 12,"1,537.00","1,401.00","1,563.49","1,380.49",8.60%
Jul 12,"1,415.30","1,448.50","1,492.25","1,379.60",-2.26%
Jun 12,"1,448.00","1,413.00","1,505.00","1,383.00",2.40%
May 12,"1,414.08","1,567.22","1,577.22","1,386.38",-9.85%
Apr 12,"1,568.62","1,647.19","1,668.44","1,540.20",-4.32%
Mar 12,"1,639.41","1,678.92","1,714.68","1,601.33",-2.42%
Feb 12,"1,680.00","1,585.49","1,735.00","1,581.93",5.86%
Jan 12,"1,587.00","1,391.70","1,630.00","1,386.75",13.72%
Dec 11,"1,395.50","1,557.24","1,573.25","1,340.65",-10.37%
Nov 11,"1,556.99","1,596.86","1,674.76","1,511.01",-2.66%
Oct 11,"1,599.50","1,519.49","1,660.50","1,428.35",5.03%
Sep 11,"1,522.95","1,843.99","1,899.00","1,468.99",-17.43%
Aug 11,"1,844.35","1,779.00","1,917.00","1,679.95",3.67%
Jul 11,"1,779.00","1,718.99","1,821.74","1,707.75",3.12%
Jun 11,"1,725.15","1,830.99","1,850.50","1,666.24",-5.84%
May 11,"1,832.15","1,878.99","1,889.00","1,742.40",-2.29%
Apr 11,"1,875.00","1,761.99","1,879.00","1,751.00",5.85%
Mar 11,"1,771.30","1,810.24","1,866.00","1,659.00",-2.07%
Feb 11,"1,808.74","1,793.99","1,868.76","1,768.34",0.92%
Jan 11,"1,792.24","1,767.49","1,849.26","1,705.15",1.26%
Dec 10,"1,770.00","1,659.00","1,774.74","1,656.00",6.61%
Nov 10,"1,660.24","1,703.24","1,810.26","1,626.76",-2.70%
Oct 10,"1,706.24","1,652.26","1,729.26","1,651.26",3.10%
Sep 10,"1,655.00","1,513.00","1,669.00","1,513.00",8.56%
Aug 10,"1,524.50","1,574.50","1,605.00","1,480.00",-3.08%
Jul 10,"1,573.00","1,535.50","1,576.00","1,487.50",2.54%
Jun 10,"1,534.00","1,563.50","1,609.00","1,489.00",-1.89%
May 10,"1,563.50","1,736.50","1,750.50","1,457.50",-10.25%
Apr 10,"1,742.00","1,642.50","1,755.00","1,638.50",5.96%
Mar 10,"1,644.00","1,541.00","1,651.00","1,536.50",6.58%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
