Time,Close,,,,,
Aug 15,84.0744,86.5952,91.8495,82.4731,-,-3.54%
Jul 15,87.1587,99.7064,101.1054,86.5853,-,-13.04%
Jun 15,100.2329,84.0601,100.2706,83.8392,-,18.51%
May 15,84.5741,87.227,89.6762,84.2736,-,-3.07%
Apr 15,87.2494,91.6743,94.1221,86.6238,-,-4.07%
Mar 15,90.9477,94.2445,94.8216,88.9067,-,-3.56%
Feb 15,94.3073,90.1057,95.5396,89.9044,-,4.31%
Jan 15,90.408,99.0541,101.5873,89.6551,-,-8.73%
Dec 14,99.0538,97.0682,105.207,96.2436,-,1.18%
Nov 14,97.9014,96.1988,99.3418,93.1279,-,0.89%
Oct 14,97.0342,84.4213,98.2242,84.1029,-,14.28%
Sep 14,84.9086,96.6213,97.5178,84.3375,-,-12.43%
Aug 14,96.9663,98.3524,100.881,95.7155,-,-1.43%
Jul 14,98.3748,109.5377,109.6617,97.5532,-,-10.63%
Jun 14,110.0738,119.4375,121.2156,109.7094,-,-8.62%
May 14,120.4631,130.8466,131.176,120.3507,-,-7.97%
Apr 14,130.8991,127.2221,131.0571,124.1339,-,3.19%
Mar 14,126.8533,117.045,127.065,117.045,-,8.38%
Feb 14,117.0446,108.088,117.8813,107.9872,-,8.29%
Jan 14,108.0875,109.2916,109.9649,106.3136,-,-1.10%
Dec 13,109.2912,114.0017,114.945,109.0594,-,-3.92%
Nov 13,113.7495,113.6707,114.6329,110.3854,-,0.19%
Oct 13,113.5391,115.5642,118.584,113.4735,-,-1.75%
Sep 13,115.5642,120.0564,122.6682,115.2327,-,-3.74%
Aug 13,120.0559,116.3412,124.5596,111.4554,-,2.92%
Jul 13,116.6545,121.7131,125.9044,115.2608,-,-4.22%
Jun 13,121.7962,131.3113,131.9685,121.4531,-,-6.13%
May 13,129.7544,125.0447,131.53,123.0671,-,2.28%
Apr 13,126.865,123.3202,127.7201,119.9603,-,0.21%
Mar 13,126.5951,129.0776,133.7096,126.4062,-,-2.50%
Feb 13,129.8356,137.2381,137.7175,127.1419,-,-4.77%
Jan 13,136.3405,131.5187,137.0395,126.9121,-,3.67%
Dec 12,131.5181,141.4952,142.0479,130.2554,-,-6.07%
Nov 12,140.0204,146.583,146.8076,134.5826,-,-3.48%
Oct 12,145.0737,147.642,148.8047,140.262,-,-2.49%
Sep 12,148.7782,159.9856,159.9856,141.9828,-,-4.92%
Aug 12,156.472,151.5993,159.9136,148.1714,-,1.70%
Jul 12,153.8585,130.6218,159.3862,130.0781,-,19.78%
Jun 12,128.4513,108.9953,130.2202,107.5997,-,17.61%
May 12,109.2191,119.1274,120.023,109.2191,-,-9.10%
Apr 12,120.1545,118.1322,120.1884,112.2239,-,2.38%
Mar 12,117.3568,115.142,118.7656,110.9747,-,1.46%
Feb 12,115.6729,112.3813,116.0454,109.5415,-,4.01%
Jan 12,111.2179,111.0941,114.2487,103.4429,-,0.00%
Dec 11,111.2179,105.2263,111.6115,100.4686,-,6.13%
Nov 11,104.7934,110.8243,115.6307,101.4867,-,-7.02%
Oct 11,112.7029,107.0876,115.6187,104.7282,-,5.24%
Sep 11,107.0874,134.909,135.8536,106.8534,-,-21.44%
Aug 11,136.3157,124.8512,137.1127,120.7195,-,10.74%
Jul 11,123.0972,114.3495,131.1879,113.8746,-,4.89%
Jun 11,117.3552,132.9469,140.5943,115.8702,-,-11.73%
May 11,132.946,134.585,136.3834,122.4291,-,-1.48%
Apr 11,134.9459,134.1762,141.8883,129.9634,-,2.58%
Mar 11,131.5476,134.7573,138.4267,116.5441,-,-2.33%
Feb 11,134.6866,134.421,144.6276,127.2067,-,0.23%
Jan 11,134.3754,130.4022,134.867,125.0126,-,3.42%
Dec 10,129.9356,115.9319,130.0909,115.8926,-,14.12%
Nov 10,113.8574,120.8361,129.9369,109.9066,-,-5.30%
Oct 10,120.2264,106.1792,121.0407,100.5518,-,12.12%
Sep 10,107.2305,100.6066,113.0786,99.8928,-,7.65%
Aug 10,99.6086,99.3267,106.4918,96.843,-,2.59%
Jul 10,97.0951,83.6329,97.1701,82.844,-,16.49%
Jun 10,83.352,82.641,86.2064,79.9969,-,-0.05%
May 10,83.3969,89.1779,89.319,83.0324,-,-6.16%
Apr 10,88.8679,84.2479,90.5946,83.2564,-,6.08%
Mar 10,83.7714,90.852,91.5374,83.6103,-,-8.04%
Feb 10,91.0958,86.7486,91.6025,85.1815,-,5.16%
Jan 10,86.6296,101.5246,102.436,86.4601,-,-13.14%
Dec 09,99.7362,103.3533,104.2585,94.6426,-,-3.08%
Nov 09,102.9045,93.2073,103.6726,92.423,-,10.41%
Oct 09,93.1994,87.277,102.75,83.972,-,6.15%
Sep 09,87.803,90.244,91.212,83.715,-,-3.31%
Aug 09,90.811,98.18,100.438,87.865,-,-4.05%
Jul 09,94.644,97.79,98.767,87.571,-,-1.76%
Jun 09,96.344,112.382,114.699,94.052,-,-12.96%
May 09,110.683,98.767,111.486,98.549,-,12.51%
Apr 09,98.378,94.531,99.114,92.815,-,3.59%
Mar 09,94.971,86.301,97.398,84.25,-,8.50%
Feb 09,87.533,96.134,99.417,85.954,-,-9.99%
Jan 09,97.245,101.406,106.238,94.634,-,-4.10%
Dec 08,101.406,90.224,102.804,78.759,-,10.33%
Nov 08,91.914,99.526,104.534,87.118,-,-6.83%
Oct 08,98.655,118.841,119.068,90.966,-,-16.14%
Sep 08,117.637,136.801,140.139,117.401,-,-18.07%
Aug 08,143.576,149.119,154.75,130.161,-,-3.99%
Jul 08,149.55,172.234,180.213,143.569,-,-13.99%
Jun 08,173.875,148.498,181.421,147.53,-,17.09%
May 08,148.5,149.653,154.576,142.41,-,-0.17%
Apr 08,148.753,145.641,159.407,141.774,-,1.53%
Mar 08,146.512,171.397,173.779,143.264,-,-12.54%
Feb 08,167.527,148.131,172.828,146.989,-,14.24%
Jan 08,146.643,140.088,151.777,138.403,-,6.55%
Dec 07,137.627,126.783,142.059,125.994,-,8.06%
Nov 07,127.363,122.192,130.207,117.915,-,5.33%
Oct 07,120.915,126.792,127.121,115.621,-,-3.83%
Sep 07,125.73,111.762,128.479,111.239,-,15.06%
Aug 07,109.269,102.015,111.685,98.966,-,7.45%
Jul 07,101.696,103.364,108.344,98.369,-,-0.33%
Jun 07,102.031,100.114,110.672,99.664,-,1.54%
May 07,100.486,93.976,101.704,92.131,-,7.17%
Apr 07,93.76,93.903,97.623,91.369,-,-1.02%
Mar 07,94.723,102.134,102.134,93.407,-,-8.08%
Feb 07,103.049,98.476,106.126,96.567,-,5.26%
Jan 07,97.899,94.972,100.176,88.704,-,1.06%
Dec 06,96.872,97.335,97.727,91.155,-,-0.93%
Nov 06,97.785,89.574,98.34,89.079,-,9.71%
Oct 06,89.134,78.239,93.645,76.021,-,16.10%
Sep 06,76.771,74.156,80.847,70.745,-,3.37%
Aug 06,74.267,76.652,78.321,70.434,-,-3.22%
Jul 06,76.736,79.237,82.212,75.301,-,-1.84%
Jun 06,78.171,79.648,82.833,74.368,-,-1.97%
May 06,79.742,78.674,83.969,77.209,-,1.94%
Apr 06,78.228,77.092,79.118,75.814,-,1.36%
Mar 06,77.178,79.79,81.356,74.846,-,-3.92%
Feb 06,80.324,77.281,81.252,76.669,-,2.74%
Jan 06,78.179,79.471,80.372,73.525,-,-0.24%
Dec 05,78.368,72.941,79.37,72.005,-,7.47%
Nov 05,72.921,75.705,77.039,71.587,-,-3.31%
Oct 05,75.419,78.925,80.305,75.26,-,-4.10%
Sep 05,78.646,79.717,81.529,76.114,-,-0.84%
Aug 05,79.313,89.024,91.235,78.993,-,-11.55%
Jul 05,89.667,88.007,97.087,87.164,-,3.29%
Jun 05,86.807,89.617,96.9,85.987,-,-3.51%
May 05,89.963,84.268,91.469,81.251,-,5.74%
Apr 05,85.08,87.306,88.854,83.168,-,-2.70%
Mar 05,87.439,88.16,95.79,86.04,-,-1.82%
Feb 05,89.058,77.174,89.263,75.615,-,15.48%
Jan 05,77.119,80.272,81.88,76.422,-,-4.86%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
